"iter","muon+adamw--lr1e-3 - train/loss","muon+adamw--lr1e-3 - train/loss__MIN","muon+adamw--lr1e-3 - train/loss__MAX","muon+adamw--lr1e-3 - _step","muon+adamw--lr1e-3 - _step__MIN","muon+adamw--lr1e-3 - _step__MAX","muon-cos_inf - train/loss","muon-cos_inf - train/loss__MIN","muon-cos_inf - train/loss__MAX","muon-cos_inf - _step","muon-cos_inf - _step__MIN","muon-cos_inf - _step__MAX","muon+adamw--lr1.5e-3 - train/loss","muon+adamw--lr1.5e-3 - train/loss__MIN","muon+adamw--lr1.5e-3 - train/loss__MAX","muon+adamw--lr1.5e-3 - _step","muon+adamw--lr1.5e-3 - _step__MIN","muon+adamw--lr1.5e-3 - _step__MAX","muon1500 - train/loss","muon1500 - train/loss__MIN","muon1500 - train/loss__MAX","muon1500 - _step","muon1500 - _step__MIN","muon1500 - _step__MAX","muon-linear - train/loss","muon-linear - train/loss__MIN","muon-linear - train/loss__MAX","muon-linear - _step","muon-linear - _step__MIN","muon-linear - _step__MAX","muon-cosine - train/loss","muon-cosine - train/loss__MIN","muon-cosine - train/loss__MAX","muon-cosine - _step","muon-cosine - _step__MIN","muon-cosine - _step__MAX","muon - train/loss","muon - train/loss__MIN","muon - train/loss__MAX","muon - _step","muon - _step__MIN","muon - _step__MAX"
"2350","","","","","","","3.8032023906707764","3.8032023906707764","3.8032023906707764","96","96","96","","","","","","","","","","","","","3.8095736503601074","3.8095736503601074","3.8095736503601074","96","96","96","3.735039472579956","3.735039472579956","3.735039472579956","96","96","96","3.805032730102539","3.805032730102539","3.805032730102539","96","96","96"
"2400","3.65442156791687","3.65442156791687","3.65442156791687","21","21","21","3.571660041809082","3.571660041809082","3.571660041809082","98","98","98","3.7154157161712646","3.7154157161712646","3.7154157161712646","21","21","21","","","","","","","3.6041030883789062","3.6041030883789062","3.6041030883789062","98","98","98","3.513145923614502","3.513145923614502","3.513145923614502","98","98","98","3.6015684604644775","3.6015684604644775","3.6015684604644775","98","98","98"
"2450","","","","","","","3.4462943077087402","3.4462943077087402","3.4462943077087402","100","100","100","","","","","","","","","","","","","3.4848806858062744","3.4848806858062744","3.4848806858062744","100","100","100","3.398171901702881","3.398171901702881","3.398171901702881","100","100","100","3.4805054664611816","3.4805054664611816","3.4805054664611816","100","100","100"
"2500","3.5261752605438232","3.5261752605438232","3.5261752605438232","23","23","23","3.615659236907959","3.615659236907959","3.615659236907959","102","102","102","3.5784878730773926","3.5784878730773926","3.5784878730773926","23","23","23","","","","","","","3.6556971073150635","3.6556971073150635","3.6556971073150635","102","102","102","3.5694210529327393","3.5694210529327393","3.5694210529327393","102","102","102","3.6508941650390625","3.6508941650390625","3.6508941650390625","102","102","102"
"2550","","","","","","","3.6306569576263428","3.6306569576263428","3.6306569576263428","104","104","104","","","","","","","","","","","","","3.6519618034362793","3.6519618034362793","3.6519618034362793","104","104","104","3.5795533657073975","3.5795533657073975","3.5795533657073975","104","104","104","3.6656641960144043","3.6656641960144043","3.6656641960144043","104","104","104"
"2600","3.707460403442383","3.707460403442383","3.707460403442383","25","25","25","3.6395864486694336","3.6395864486694336","3.6395864486694336","106","106","106","3.7554054260253906","3.7554054260253906","3.7554054260253906","25","25","25","","","","","","","3.6769042015075684","3.6769042015075684","3.6769042015075684","106","106","106","3.5940661430358887","3.5940661430358887","3.5940661430358887","106","106","106","3.6677284240722656","3.6677284240722656","3.6677284240722656","106","106","106"
"2650","","","","","","","3.4686923027038574","3.4686923027038574","3.4686923027038574","108","108","108","","","","","","","","","","","","","3.4993770122528076","3.4993770122528076","3.4993770122528076","108","108","108","3.421354293823242","3.421354293823242","3.421354293823242","108","108","108","3.5276341438293457","3.5276341438293457","3.5276341438293457","108","108","108"
"2700","3.5931506156921387","3.5931506156921387","3.5931506156921387","27","27","27","3.8160951137542725","3.8160951137542725","3.8160951137542725","110","110","110","3.6433608531951904","3.6433608531951904","3.6433608531951904","27","27","27","","","","","","","3.8512814044952393","3.8512814044952393","3.8512814044952393","110","110","110","3.7684473991394043","3.7684473991394043","3.7684473991394043","110","110","110","3.869039535522461","3.869039535522461","3.869039535522461","110","110","110"
"2750","","","","","","","3.4360222816467285","3.4360222816467285","3.4360222816467285","112","112","112","","","","","","","","","","","","","3.47737717628479","3.47737717628479","3.47737717628479","112","112","112","3.4021902084350586","3.4021902084350586","3.4021902084350586","112","112","112","3.5035324096679688","3.5035324096679688","3.5035324096679688","112","112","112"
"2800","3.399176597595215","3.399176597595215","3.399176597595215","29","29","29","3.6494884490966797","3.6494884490966797","3.6494884490966797","114","114","114","3.4417362213134766","3.4417362213134766","3.4417362213134766","29","29","29","","","","","","","3.6963448524475098","3.6963448524475098","3.6963448524475098","114","114","114","3.603691577911377","3.603691577911377","3.603691577911377","114","114","114","3.705559253692627","3.705559253692627","3.705559253692627","114","114","114"
"2850","","","","","","","3.640519142150879","3.640519142150879","3.640519142150879","116","116","116","","","","","","","","","","","","","3.704756259918213","3.704756259918213","3.704756259918213","116","116","116","3.6173253059387207","3.6173253059387207","3.6173253059387207","116","116","116","3.713679075241089","3.713679075241089","3.713679075241089","116","116","116"
"2900","3.569298505783081","3.569298505783081","3.569298505783081","31","31","31","3.5286662578582764","3.5286662578582764","3.5286662578582764","118","118","118","3.6083767414093018","3.6083767414093018","3.6083767414093018","31","31","31","","","","","","","3.5970518589019775","3.5970518589019775","3.5970518589019775","118","118","118","3.510197639465332","3.510197639465332","3.510197639465332","118","118","118","3.6162214279174805","3.6162214279174805","3.6162214279174805","118","118","118"
"2950","","","","","","","3.314164400100708","3.314164400100708","3.314164400100708","120","120","120","","","","","","","","","","","","","3.3653018474578857","3.3653018474578857","3.3653018474578857","120","120","120","3.28434419631958","3.28434419631958","3.28434419631958","120","120","120","3.385684013366699","3.385684013366699","3.385684013366699","120","120","120"
"3000","3.473069429397583","3.473069429397583","3.473069429397583","33","33","33","3.686920404434204","3.686920404434204","3.686920404434204","122","122","122","3.49269437789917","3.49269437789917","3.49269437789917","33","33","33","","","","","","","3.743011474609375","3.743011474609375","3.743011474609375","122","122","122","3.66050124168396","3.66050124168396","3.66050124168396","122","122","122","3.7634501457214355","3.7634501457214355","3.7634501457214355","122","122","122"
